id;all_lowercase_regex;name_integer;name_long;name_big_decimal;name_float;name_double;name_boolean;name_local_date;name_zoned_date_time;name_instant;name_blob;name_blob_content_type;name_any_blob;name_any_blob_content_type;name_image_blob;name_image_blob_content_type;name_text_blob
1;"yb";10;50;22;35;92;true;2011-11-10;2011-11-10T19:03:53;2011-11-10T15:46:29;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;"zuxo";51;44;77;69;90;true;2011-11-10;2011-11-10T10:16:26;2011-11-10T00:41:07;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;"f";82;77;77;98;59;true;2011-11-10;2011-11-10T10:37:52;2011-11-10T10:30:25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;"zqsykc";92;11;86;72;75;false;2011-11-10;2011-11-10T06:40:35;2011-11-10T00:03:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;"q";15;74;13;13;98;true;2011-11-10;2011-11-10T14:08:54;2011-11-10T17:22:41;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;"nvrro";54;31;58;16;83;false;2011-11-10;2011-11-10T13:35:47;2011-11-10T17:41:48;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;"jt";95;93;58;11;30;false;2011-11-10;2011-11-10T07:41:49;2011-11-10T22:50:20;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;"hiuh";34;34;89;97;89;true;2011-11-10;2011-11-10T16:22:44;2011-11-10T20:05:24;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;"vkrcen";53;64;55;84;28;true;2011-11-10;2011-11-10T05:39:38;2011-11-10T17:31:47;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;"x";98;95;39;26;49;true;2011-11-10;2011-11-10T01:52:50;2011-11-10T04:27:27;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
11;"t";70;44;50;55;71;false;2011-11-10;2011-11-10T22:50:30;2011-11-10T02:14:45;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
12;"c";76;28;99;65;39;true;2011-11-10;2011-11-10T17:52:03;2011-11-10T17:31:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
13;"alfyqo";48;48;72;39;41;false;2011-11-10;2011-11-10T10:12:38;2011-11-10T21:35:35;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
14;"lpz";89;22;21;41;51;false;2011-11-10;2011-11-10T06:16:36;2011-11-10T23:35:48;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
15;"vlnzbg";58;68;90;79;39;false;2011-11-10;2011-11-10T12:09:40;2011-11-10T08:34:49;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
16;"xqqcdn";88;51;47;76;43;true;2011-11-10;2011-11-10T01:15:18;2011-11-10T05:39:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
17;"hvahxr";52;31;69;28;16;false;2011-11-10;2011-11-10T04:44:58;2011-11-10T09:52:55;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
18;"mwlqyz";42;44;72;63;86;true;2011-11-10;2011-11-10T14:28:12;2011-11-10T19:22:39;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
19;"mawqh";58;82;68;13;31;false;2011-11-10;2011-11-10T18:06:56;2011-11-10T08:34:11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
20;"l";89;90;47;49;55;false;2011-11-10;2011-11-10T19:35:57;2011-11-10T14:48:35;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
21;"qsd";81;26;95;64;48;false;2011-11-10;2011-11-10T15:27:53;2011-11-10T22:50:02;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
22;"bq";58;20;91;11;87;true;2011-11-10;2011-11-10T03:31:42;2011-11-10T17:44:43;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
23;"aornu";13;89;96;28;47;false;2011-11-10;2011-11-10T20:48:17;2011-11-10T12:16:53;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
24;"vm";19;89;76;91;77;false;2011-11-10;2011-11-10T19:12:24;2011-11-10T02:26:10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
25;"d";45;41;100;78;82;true;2011-11-10;2011-11-10T07:30:07;2011-11-10T10:03:36;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
26;"ovff";63;22;54;59;90;false;2011-11-10;2011-11-10T10:57:38;2011-11-10T16:16:32;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
27;"m";53;96;12;10;87;false;2011-11-10;2011-11-10T18:01:48;2011-11-10T10:44:42;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
