id;lesn_name;teacher_name
1;Director benchmark standardization;Keyboard
2;旁 广东省 alarm;Vietnam
3;red Bedfordshire Cambridgeshire;distributed
4;reboot;incubate calculate
5;multi-state alarm withdrawal;Integration infrastructures
6;AGP;侬 Handmade systemic
7;Peru Kina;Home end-to-end calculate
8;甘肃省 payment;engineer Bedfordshire
9;Fantastic payment;Berkshire
10;Investment 陕西省 Customer;Sleek turquoise Borders
11;solid didactic Soft;ubiquitous
12;matrix;Bike ADP solution-oriented
13;Grocery Savings Djibouti;markets
14;Zloty Cambridgeshire;Frozen Devolved
15;e-business Electronics Handcrafted;matrix Granite Shirt
16;payment Ergonomic Cotton;Soap 中心
17;IB B2B Towels;architectures black orchid
18;supply-chains;Wooden
19;Integration 陕西省;array 旁 PCI
20;payment Fantastic;山东省
21;Handmade National;protocol primary
22;empowering;copy
23;olive bricks-and-clicks Concrete;bandwidth
24;out-of-the-box Metrics;巷
25;Sleek;mobile Analyst revolutionary
26;enterprise Bacon;Human
27;monitor multi-byte;Lead
28;Savings;Pakistan Practical
29;Fresh 路;auxiliary Gloves
30;Persistent RAM;robust
31;client-server Data Republic;synergies
32;Garden synthesize;Synergistic
33;Ringgit;Strategist
34;Frozen primary;Borders
35;uniform digital world-class;Dong Applications 旁
36;Soap yellow;payment redefine
37;cyan;Saint New
38;Salad Checking;digital 路
39;山西省;protocol
40;National Plastic Gorgeous;栋
41;generation District Grass-roots;PNG
42;impactful Keyboard;桥 Group deposit
43;Handcrafted context-sensitive Books;Savings secondary Corporate
44;cross-platform Unit invoice;invoice Dollar
45;redundant;Profound Granite
46;Berkshire;Customer Human deposit
47;Frozen Tokelau;Checking
48;transitional;world-class
49;Zambia HDD enhance;Strategist homogeneous
50;Global;mobile
51;indigo Money JSON;redundant HDD
52;旁 aggregate convergence;maximize Ball Fish
53;栋;Directives project Tanzania
54;holistic;Inverse
55;payment 陕西省;Taiwan Applications
