id;stu_name;money;language
1;Bedfordshire copy Auto;37590;Chinese
2;PCI plug-and-play client-server;14207;Chinese
3;next 中心;98227;ENGLISH
4;cross-platform Avon connect;1589;Chinese
5;Virtual Incredible;58099;FRENCH
6;Intranet virtual;75436;ENGLISH
7;江西省 emulation Money;8888;Chinese
8;port generate Refined;67671;Chinese
9;Iran;59002;ENGLISH
10;Accounts Electronics virtual;76973;Chinese
11;array 路;78251;Chinese
12;Advanced;62600;Chinese
13;Legacy;71277;Chinese
14;Automotive Marketing Concrete;46543;Chinese
15;repurpose generating;34319;Chinese
16;Pizza clear-thinking;16299;FRENCH
17;installation services 巷;67879;FRENCH
18;copying Handcrafted;74475;FRENCH
19;Regional;58468;FRENCH
20;object-oriented PNG;53029;Chinese
21;Buckinghamshire;86132;ENGLISH
22;Intranet Granite Stand-alone;68561;ENGLISH
23;Distributed;35736;Chinese
24;Shirt Awesome Soft;53258;ENGLISH
25;uniform Grocery;5392;FRENCH
26;quantify Avon withdrawal;42548;Chinese
27;support Outdoors Chief;28604;FRENCH
28;microchip Ruble;30998;FRENCH
29;陕西省 Frozen Baby;1750;ENGLISH
30;magnetic Home invoice;54615;FRENCH
31;payment asynchronous;99363;Chinese
32;Forward 辽宁省;10953;FRENCH
33;Pound orange;99693;FRENCH
34;Concrete Coordinator payment;16753;ENGLISH
35;Configurable Myanmar Iceland;6256;Chinese
36;Baby Factors;23162;ENGLISH
37;Granite;3515;Chinese
38;invoice;7306;Chinese
39;red Division Cambodia;17306;ENGLISH
40;Bedfordshire;47158;ENGLISH
41;福建省;68172;ENGLISH
42;Analyst;80834;FRENCH
43;Pants;79534;ENGLISH
44;Regional Bedfordshire;35876;ENGLISH
45;Bacon incremental payment;11780;ENGLISH
46;Platinum Loan;59059;Chinese
47;Bahamian;58464;FRENCH
48;Ergonomic 内蒙古 parsing;93280;FRENCH
49;SQL e-business;52060;Chinese
50;implement Rupiah;70408;FRENCH
51;card Rubber invoice;25778;Chinese
52;Rubber;57553;FRENCH
53;calculating Games Assistant;86099;FRENCH
54;next-generation matrices Refined;58234;ENGLISH
55;Keyboard 旁;28187;FRENCH
